CO_IES|SG_IES|CO_UF
2271|FPI|31
1668||31
4362|PITÁGORAS-BETIM|31
22157||29
18639||21
21882||15
13743|PIT GV|31
22059||29
21903||31
14429||27
1819||23
1821|FAC-LIONS|52
1822|FASAM|52
1823|IESAP|16
17348||31
1828|ESCOLA DA CIDADE|35
1834|FAAG|35
13481|FRB-GV|35
1838|FRB|35
1843|FACAMP|31
1852|SABERES|32
1030|IBMEC|33
2465|IBMEC SP|35
1484|IBMEC|31
2279|UniMetrocamp Wyden|35
1856|FACNOPAR|41
1862|FARESE|32
1864|FABE|43
1873|FAMERC|33
1875|FAIBI|35
1876|FMPFM|35
1879||41
20330|Facear|41
1880|FACE|32
1881|FAESC|26
1885|UNDB|21
1892|ENIAC|35
3294|UNIFAVENI|35
1894|FEPAM|26
1895|UNICHRISTUS|23
1898|FALS|35
1900|UniFaesp|41
1906|IES-MATERDEI|13
1908|FABRA|32
1910||29
1913|UNIFAMINAS|31
1917|FACIMED|11
1918|FUCAP|42
2275|FASA|31
22088|FASAI|29
13809|FASASETE|31
17433|FASAVIC|29
17498|FASA|29
1921|FSB|35
1930|SINGULARIDADES/ISESP|35
1934|FASIP|51
1907|FAEC|41
1939|INESUL|41
2799|FANEESP|41
1940|FANS|31
4950||51
1941|FAUC|51
1948|FESP|25
1949|UNIFACP|35
1951|IESA|53
1952||51
1962|ISECENSA|33
1961|ITCSAS/CENSA|33
1964|HOTEC|35
1965|UMJ|27
3203|ISALBE|53
1966|FALBE|53
1974|ISEC|21
1967|FAI|21
1977|CESA|31
19859||23
19337||23
1978|Unifametro|23
1980|SINERGIA|42
1984||31
7|UFSCAR|35
22257|AVANTIS Itapema|42
21676|Avantis|42
1988|UNIAVAN|42
2189|FACAM-MA|21
2168|FCG|50
2149|FACSUL|50
4289|FAVED|31
1998|ISEED|31
2763|CESG|31
2021||53
2022|FAROL|11
2023|UNIFG|29
2027|FAC-CG|25
4849|UNITPAC|17
2035|ULT|41
2040|FAF|31
2042||27
2043|FVS|23
2045|FAMA|28
2049|IESMA|21
2058|UNNESA|11
2067|FACEMP|29
2069|FATECH|16
2072|IEVAL|12
2079|FAI|15
4631|FAAJP|25
2082|FCM-PB|25
2091|ISEPS|33
20547|FNIT|23
2111|UNINTA|23
17394|FAL|23
2113|FDB|43
2117|FACITEC|41
2123|UniMAX|35
2124|CALAFIORI|31
2146|FAC|12
2132||12
1226|IESACRE|12
2134||52
2137|FASAMAR|17
2141|FABAPAR|41
2147|FAMETRO|13
2154|ISAT|33
2160|IESSA|41
2158|FSM|25
2177|FIPEN|35
2180|RATIO|23
2186|FSDB|13
2192|ISEI|43
2198|FATO|43
2200|FAVAG|31
2205||35
2222|UNIRIOS|29
2233|FACISABH|31
1314|FACISAMG|31
2237|FATEBE|15
2270|FAEX|31
2282|FAC|41
2289|UCESP|35
2779|FIOURO|11
2297|FADISMA|43
3157|ISEAR|52
2288|FAR|52
2301|FF|41
2320|ISEAT|32
2308|SFNSC|33
4068|ICESP|53
2323|FAMA|11
2332|FACESPI|35
2336||52
3533|FACERES|35
2343||12
2346|IFIBE|43
2350|ESMAC|15
2356|FPA|15
14303|FAPSC|52
2361|-|52
2702|FCJP|17
22096|SLMANDIC-ARARAS|35
2368||35
2369|INESA|42
2821|IMED|43
2383|IMED|43
2389|FFTP|35
2397|FUCAPE|32
1053||29
1645|FTC|29
1642|FTC|29
1461||29
1364||29
2402|FTC CENTRO|29
3838||25
2408|ESAMC|35
2410|FAC|23
2413|FAESF|22
2423|FACIT|31
2426|FIBRA|15
2427|FL-BA|29
2428|FACICA|31
2969|OCIDEMNTE|29
2440|FCJP|31
2456|FACHASUL|50
2459|FEAPA|15
2466|FIED|23
2469|IMMES|16
2475|FDLM|31
12749|FAPEC|29
2474|FAMAM|29
2477|FAMA|31
2478|FISUL|43
2488|FAE|43
2485|FCF|23
2497||23
3609|FACIIP|29
2500||29
2513|FPL|41
2521|ISESPI|22
2532|FASUG|52
2536|FARES|14
2537|FSG|32
19208|MULTIVIX CARIAC|32
19050|MULTIVIX CARIAC|32
2538|FAVENI|32
2554|FEST|21
2560|FAESF/UNEF|29
2568|FAZAG|29
12229|CETFAESA|32
2569|CET-FAESA|32
14342|FACREDENTOR|33
